customer_id,first_name,last_name,gender,dob,email,phone,address,city,state,zip_code
1,Danielle,Johnson,Other,1973-03-11,donaldgarcia@mcclain.com,338-908-3863,"26542 Susan Junction Apt. 161, Melanieview, AZ 96148",Herrerafurt,Colorado,72858
2,Kelly,Fuller,Male,1979-02-01,williamsjeremy@galloway-wyatt.com,(475)255-3419x2832,"835 Jeremy Bypass Suite 641, New Nancy, IL 86410",Fostermouth,Georgia,35219
3,Donald,Mcgee,Male,1991-02-26,zhurst@yahoo.com,287.101.2269,"784 Erin Crescent Suite 514, Mooretown, VA 35023",New Rita,South Dakota,39618
4,Meagan,Romero,Other,1968-01-05,kathryn88@george.com,543-039-1171,"Unit 8227 Box 8248, DPO AP 55962",New Karina,Vermont,26866
5,Jennifer,Ross,Female,2000-03-08,clam@gmail.com,315.098.3930,"10518 Joshua Oval, New David, OK 76026",Sanchezfort,Nebraska,25458
6,Clinton,Hopkins,Male,1978-08-03,uowens@gmail.com,+1-106-513-3387x26247,"8108 Tanya Terrace, East Richard, IL 53066",East Nicholasfurt,Kentucky,60139
7,Justin,Horton,Male,2004-03-09,jamesrobinson@gmail.com,001-805-009-7882,"19136 Shelly Port, New Brooke, CO 55449",Sarahborough,Texas,94373
8,Leon,Baker,Male,1963-05-20,wstewart@gmail.com,7991183842,"USS Suarez, FPO AA 37854",South Martha,Virginia,40152
9,Cheryl,Archer,Other,1998-12-24,sarah12@wilson-rodriguez.net,(449)353-4874,"PSC 0164, Box 0052, APO AP 34836",Lake Scott,Virginia,56558
10,Ann,Rodriguez,Male,2001-07-02,davenportbrandi@jordan.com,(053)315-8692x322,"56342 Patrick Camp, Walkermouth, ME 30332",North Donna,Montana,43526
11,Joshua,Jones,Other,2007-02-07,darlene68@yahoo.com,1429401965,"9816 Jonathan Station Suite 088, West Ryan, MA 82179",Elizabethville,Washington,39864
12,William,Estrada,Other,1976-09-03,angela36@hotmail.com,(299)468-0443x6995,"387 Donna Haven Suite 134, Port James, AZ 32593",Carrland,New Jersey,54822
13,Olivia,Johnston,Other,2003-05-12,jross@hotmail.com,001-016-328-7083x172,"9868 Merritt Summit Suite 743, Katiehaven, SC 31859",Scottport,Kansas,36115
14,Matthew,Orozco,Male,1959-12-17,jessebenson@lewis.info,(036)690-9670x54668,"3467 Paul Skyway, Ramseymouth, DC 82061",South Brittanytown,Colorado,84747
15,Roy,Camacho,Other,1966-11-04,nicholas37@rogers-hobbs.com,001-641-708-0531x00330,"71937 Wang Expressway, Port Loriport, OR 03866",Barbarafurt,Montana,94219
16,James,Vargas,Female,1997-02-28,terrykevin@burke.com,(865)185-0671x657,"84987 Graham Street Suite 531, Nicolebury, NH 75192",Rogersfort,Massachusetts,24335
17,Tony,Kelly,Male,1972-01-22,nicole48@gmail.com,313.678.3777x01436,"957 Coleman Summit Suite 574, Johnville, ID 41860",Lake Amandaburgh,Illinois,28862
18,Joanna,Hill,Male,1994-08-07,wallkenneth@yahoo.com,(408)240-0842,"09477 Peterson Center Suite 711, Vasquezshire, TX 07527",East Lisa,Maryland,11665
19,Victoria,Wilson,Male,2006-07-01,kimberlyjames@yahoo.com,964-990-9133x4123,"06797 Johnson Heights, Jacquelinemouth, TX 31096",Kristinshire,Texas,26429
20,Ronald,Stephens,Male,1998-07-20,margaret10@sparks.org,717-464-8877x1906,"13990 Johnston Track Apt. 787, Howardshire, SC 64952",South Michaelmouth,Massachusetts,88336
21,Daniel,Martin,Male,1982-06-28,elaine68@gmail.com,154.516.8087x603,"703 Dunn Heights Suite 710, Lake Eric, AL 72885",Davisville,New Jersey,15897
22,Deborah,Moore,Other,2003-03-30,robert77@gmail.com,826.398.2146x584,"499 Grimes Mission Suite 558, Gibsonmouth, ID 91923",New Patrick,Wyoming,54342
23,Bradley,Garner,Other,2002-06-20,ymcneil@hotmail.com,(702)895-1718,"PSC 0262, Box 1745, APO AP 91295",Santosmouth,Utah,70443
24,Norman,Stewart,Male,2003-05-21,williamsonjimmy@hotmail.com,316-117-2400x5045,"86922 Christian Ways, Harveybury, OR 19259",South Dana,New Jersey,33967
25,Elizabeth,Nolan,Other,1986-02-19,charleslandry@hotmail.com,647-436-7136x9594,"Unit 4064 Box 0909, DPO AP 65608",Kimberlybury,Rhode Island,46680
26,Jeffery,Lee,Male,1971-07-14,bergerdebbie@kramer-johnson.com,001-214-562-3285x8842,"5171 Karen Fork Suite 851, Smithside, NH 48812",Brendastad,Connecticut,88953
27,Jesus,Johnson,Other,1992-09-05,deborahreid@yahoo.com,001-461-200-4711x382,"869 Nicole Shoal Apt. 796, Antoniostad, NV 58788",Port Michael,Utah,48648
