employee_id,branch_id,first_name,last_name,position,hire_date,salary,email
1,1,Joyce,Robinson,Teller,2016-09-29,81763.58,fbrown@potter.com
2,5,Richard,Cannon,Clerk,2022-11-14,26343.71,youngcarla@gmail.com
3,1,Victoria,Lozano,Clerk,2022-08-19,41969.93,patrickali@henderson.com
4,3,Kimberly,Lewis,Teller,2020-06-04,34669.81,ojackson@nguyen.biz
5,4,Pamela,Lewis,Assistant,2019-08-20,69150.3,jennifer94@johnson.com
6,2,Faith,Myers,Manager,2019-12-30,86788.29,richard75@gmail.com
7,3,Richard,Scott,Teller,2015-08-26,59194.47,ronald88@harris.com
8,5,Ronald,Gray,Assistant,2023-05-01,64308.82,ubentley@gmail.com
9,4,Sandra,Nguyen,Clerk,2019-09-21,50704.96,brooke69@gmail.com
10,4,Laura,Black,Teller,2024-11-22,81258.67,christinejordan@chandler.com
11,2,Ashley,Harris,Security,2022-09-21,26434.35,duffystephen@gmail.com
12,2,Christopher,Rose,Clerk,2020-05-02,40839.27,juliearnold@hotmail.com
13,1,Jacob,Nichols,Assistant,2024-07-27,62847.52,lucascynthia@aguilar.com
14,1,Joseph,Spencer,Teller,2018-06-08,78333.26,qcarney@johnston.net
15,1,Tabitha,Caldwell,Security,2017-02-07,90740.81,vwalters@yahoo.com
16,3,Allison,Smith,Assistant,2020-07-23,71735.11,gregoryharris@rodriguez.com
17,5,Shane,Lucas,Manager,2016-06-11,74647.74,hensonemily@scott-villegas.info
18,1,Jessica,Dixon,Manager,2017-08-21,76731.23,lauraolson@chase.com
19,4,Michael,Mitchell,Security,2015-07-27,53519.03,josephgilbert@smith-austin.com
20,5,Jasmine,Powell,Teller,2015-12-25,60579.73,jessicaford@hotmail.com
21,2,Denise,Gonzalez,Clerk,2020-05-24,77139.4,jonesmolly@gmail.com
22,1,Mark,Carter,Teller,2016-05-11,56565.36,fatkinson@thompson.net
23,1,Katrina,Parker,Assistant,2024-03-26,45248.29,nathan12@gmail.com
24,5,Phillip,Benitez,Clerk,2024-02-14,56411.93,jordansawyer@hotmail.com
25,1,Timothy,Dunn,Assistant,2018-04-17,78907.47,patrick90@garcia.com
26,1,Patrick,Hernandez,Teller,2018-09-24,33550.94,anthonyreed@gmail.com
27,1,Breanna,Adams,Security,2022-02-27,39898.5,johnkelly@martinez-torres.net
28,2,Gary,Estes,Teller,2016-08-08,87362.41,bparsons@miles.com
29,2,Stacy,Savage,Teller,2020-03-04,77757.76,brian61@gmail.com
